,Unnamed: 0,id,count,docty,docdt,majdocty,colti,display_title,pdfurl,listing_relative_url,url_friendly_title,new_url,guid,origu,url,authors.0.author,docna.0.docna,entityids.entityid,keywd.0.keywd,keywd.1.keywd,geo_regions.0.geo_region,geo_regions.1.geo_region,geo_regions.2.geo_region,abstracts.cdata!,authors.1.author,authors.2.author,authors.3.author,geo_regions.3.geo_region,geo_regions.4.geo_region,geo_regions.5.geo_region,geo_regions.6.geo_region,geo_regions.7.geo_region,geo_regions.8.geo_region,geo_regions.9.geo_region,authors.4.author,geo_regions.10.geo_region,geo_regions.11.geo_region,authors.5.author,alt_title.0.alt_title,authors.6.author,geo_regions.12.geo_region,isbn,geo_regions.13.geo_region,authors.7.author,authors.8.author,authors.9.author,authors.10.author,EnvironmentalCategory,alt_title.1.alt_title,authors.11.author,authors.12.author,authors.13.author,authors.14.author,authors.15.author,authors.16.author,authors.17.author,authors.18.author,authors.19.author,closedt,issn,prompt_text,output
1750,198,7036384.0,Brazil,Policy Research Working Paper,2006-09-01T00:00:00Z,Publications & Research,"Policy, Research working paper ; no. WPS 4004","The quality of fiscal adjustment
            and the long-run growth impact of fiscal policy in Brazil",http://documents.worldbank.org/curated/en/288181468017063475/pdf/wps4004.pdf,/research/2006/09/7036384/quality-fiscal-adjustment-long-run-growth-impact-fiscal-policy-brazil,http://documents.worldbank.org/curated/en/288181468017063475/The-quality-of-fiscal-adjustment-and-the-long-run-growth-impact-of-fiscal-policy-in-Brazil,2006/09/7036384/The-quality-of-fiscal-adjustment-and-the-long-run-growth-impact-of-fiscal-policy-in-Brazil,2.881814680170635e+17,,http://documents.worldbank.org/curated/en/288181468017063475/The-quality-of-fiscal-adjustment-and-the-long-run-growth-impact-of-fiscal-policy-in-Brazil,"Blanco Cossio,Fernando Andres","The quality of fiscal adjustment and the
            long-run growth impact of fiscal policy in Brazil",000016406_20060906105548,"primary balance;fiscal policy;Fiscal
            policies;primary surplus;public debt;cyclical fiscal
            policy;negative real interest rate;present value of
            debt;limited exchange rate flexibility;impact of government
            expenditure;public capital;social security benefit;Exchange
            Rates;fiscal adjustment;elasticity of output;tight monetary
            policy;social security transfer;government current
            expenditure;public sector deficit;fiscal regime;financial
            transaction tax;exchange rate pass;open market
            operation;intergovernmental transfer system;exchange rate
            regime;public sector saving;consumption per capita;soft
            budget constraint;price of debt;primary fiscal
            balances;public debt holding;federal fiscal system;fiscal
            adjustment effort;disappointing growth performance;exchange
            rate depreciation;higher interest payments;primary surplus
            targets;likelihood of default;nominal exchange rate;domestic
            interest rate;foreign direct investment;international
            experiences show;social security system;public domestic
            debt;spurious regression problem;mature capital market;error
            correction representation;public expenditure
            composition;international capital market;cost of
            debt;government expenditure composition;private capital
            stock;fiscal policy management;tax revenue ratio;exchange
            rate devaluation;economically active population;per capita
            term;factor of production;Exchange rate policies;exchange
            rate policy;privatizing public enterprise;cost of service;",,Latin America & Caribbean,South America,World,"The authors describe the main trends
            of Brazil's fiscal policy during the past decade and
            analyze (1) the ability to raise the primary surplus in
            response to external shocks, (2) the pro-cyclical nature of
            fiscal policy, and (3) the long-run impact of government
            expenditure composition and taxation. They analyze the use
            of the primary balance as a policy tool within the
            Drudi-Prati model, wherein the government uses the primary
            balance to reveal its commitment to service its debt. The
            authors verify that both the debt ratio and the primary
            balance are determinants of spreads and credit ratings in
            Brazil. But the relationship is nonlinear: the impact of the
            primary balance on spreads is amplified as the debt ratio
            increases. Using an Autoregressive Distributed Lag (ARDL)
            approach, the authors analyze the relationship between the
            primary balance and economic activity, finding a positive
            correlation in the long run. However, in the short run
            fiscal expansions are associated with primary balance
            reductions and vice-versa during output contractions,
            confirming the procyclical nature of fiscal policy in the
            short run. The authors use two approaches, ARDL and a
            cointegrating value at risk (VAR), to analyze the
            interaction between public expenditure composition and
            taxation on growth. Similar results are obtained: large
            elasticities of output with respect to capital stocks, a
            significant negative impact of taxation on long-run GDP, and
            a negative impact of increasing government consumption and
            transfer payments on GDP. These results shed light on the
            contribution of fiscal policy to disappointing growth
            performance in Brazil during the past decade.","Herrera Aguilera,Santiago",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Title: The quality of fiscal adjustment
            and the long-run growth impact of fiscal policy in Brazil. Abstract: The authors describe the main trends
            of Brazil's fiscal policy during the past decade and
            analyze (1) the ability to raise the primary surplus in
            response to external shocks, (2) the pro-cyclical nature of
            fiscal policy, and (3) the long-run impact of government
            expenditure composition and taxation. They analyze the use
            of the primary balance as a policy tool within the
            Drudi-Prati model, wherein the government uses the primary
            balance to reveal its commitment to service its debt. The
            authors verify that both the debt ratio and the primary
            balance are determinants of spreads and credit ratings in
            Brazil. But the relationship is nonlinear: the impact of the
            primary balance on spreads is amplified as the debt ratio
            increases. Using an Autoregressive Distributed Lag (ARDL)
            approach, the authors analyze the relationship between the
            primary balance and economic activity, finding a positive
            correlation in the long run. However, in the short run
            fiscal expansions are associated with primary balance
            reductions and vice-versa during output contractions,
            confirming the procyclical nature of fiscal policy in the
            short run. The authors use two approaches, ARDL and a
            cointegrating value at risk (VAR), to analyze the
            interaction between public expenditure composition and
            taxation on growth. Similar results are obtained: large
            elasticities of output with respect to capital stocks, a
            significant negative impact of taxation on long-run GDP, and
            a negative impact of increasing government consumption and
            transfer payments on GDP. These results shed light on the
            contribution of fiscal policy to disappointing growth
            performance in Brazil during the past decade.","[{'label': 'LABEL_1', 'score': 0.7309275269508362}]"
1751,199,7047663.0,World,Policy Research Working Paper,2006-09-01T00:00:00Z,Publications & Research,"Policy, Research working paper ; no. WPS 4005","What is effective aid? How would
            donors allocate It?",http://documents.worldbank.org/curated/en/151181468160772449/pdf/wps4005.pdf,/research/2006/09/7047663/effective-aid-would-donors-allocate,http://documents.worldbank.org/curated/en/151181468160772449/What-is-effective-aid-How-would-donors-allocate-It,2006/09/7047663/What-is-effective-aid-How-would-donors-allocate-It,1.5118146816077245e+17,,http://documents.worldbank.org/curated/en/151181468160772449/What-is-effective-aid-How-would-donors-allocate-It,"Kenny,Charles J.","What is effective aid? How would donors
            allocate It?",000112742_20060911171427,"tradeoffs between equity and
            efficiency;access to private flows;overseas development
            assistance;Incremental Capital-Output Ratio;World Bank Group
            Strategy;effect of global warming;correlation between aid
            flow;global public good;fungibility of aid;institutional
            development impact;lack of knowledge;aid
            effectiveness;success and failure;government institutional
            capacity;fast economic growth;quality of investment;threat
            of terrorism;dollar poverty gap;wages and salary;terms of
            trade;impact on poverty;real exchange rate;direct cash
            payment;technical assistance loan;market interest rate;high
            failure rate;second world war;sectoral adjustment
            loan;regional public goods;Development Policy
            Lending;domestic revenue mobilization;public sector
            institution;quality assurance process;foreign private
            investment;quality of policy;total public
            expenditure;private capital flow;private financial
            market;human development outcome;income growth;aid
            allocation;institutional environment;recipient
            countries;Global Programs;negative effect;donor
            resource;improved health;good policy;positive impact;Aid
            Dependency;long-term growth;discount rate;financial
            resource;market rate;debt relief;aid agency;government
            contract;adjustment operation;institutional change;long-term
            loan;Donor countries;education progress;output growth;Civil
            War;health outcome;investment climate;aid resource;donor
            agencies;poverty impact;quality investments;sliding
            scale;poverty trap;adjustment lending;private finance;longer
            life;slush fund;co2 emission;data mining;natural
            disaster;life expectancy;income change;evaluation
            mechanisms;financial transfer;gap index;telecoms
            company;resource transfer;foreign saving;macro factors;small
            country;peaceful country;direct payment;institutional
            insulation;political alliance;market condition;gravity
            model;institutional constraint;public body;global
            income;bureaucratic quality;government priority;disaster
            relief;local spending;institutional base;national
            institutional;physical infrastructure;school
            construction;investment loan;paper meeting;poverty
            target;concessionary loan;vaccine development;statistical
            significance;education indicator;export price;interest
            charge;public health;project impact;recurrent
            budgets;empirical exercise;welfare recipient;wage
            growth;government support;guarantee instrument;project
            failure;donor meeting;government leadership;capacity
            requirements;pay scale;institutional improvement;government
            financing;Government Performance;public resource;net
            aid;financial constraint;concessional loan;macro
            policy;macro policies;cool climate;productive
            investment;international lending;aid recipient;marginal
            return;private market;private loan;saving rate;External
            Finance;public flows;average investment;local
            investment;domestic saving;trade shock;infrastructure
            economics;political support;investment
            resource;environmental decay;adequate nutrition;income
            transfer;basic consumption;emergency
            intervention;unsubsidized loan;outstanding loan;foreign
            reserve;donor financing;tariff reform;scarce
            resource;exceptional circumstance;international
            level;greater aid;determining growth;interaction
            coefficient;national income;good governance;river
            blindness;local population;organizational support;aid
            policy;individual investment;strategy process;economic
            institution;institution building;business practice;donor
            support;general budget;grant basis;public
            contract;democratic institution;export performance;grant
            financing;high corruption;government ownership;financing
            mechanism;government spending;government commitment;reform
            process;ethnic fragmentation;institutional
            impact;institutional strength;tax revenue;malaria burden;aid
            inflow;Macroeconomic Management;manufacturing
            sector;significant correlation;average inflation;positive
            outcome;Political Economy;negative relationship;fertilizer
            subsidies;evaluation activity;bed nets;asian tsunami;causal
            chain;infection rate;geographic factors;cross-country
            evidence;investment rate;bilateral aid;budget process",,,,,"There are significant weaknesses in
            some of the traditional justifications for assuming that aid
            will foster development. This paper looks at what the
            cross-country aid effectiveness literature and World Bank
            Operations Evaluation Department reviews have suggested
            about effective aid, first in terms of promoting income
            growth, and then for promoting other goals. This review
            forms the basis for a discussion of recommendations to
            improve aid effectiveness and a discussion of effective aid
            allocation. Given the multiple potential objectives for aid,
            there is no one right answer. However, it appears that there
            are a number of reforms to aid practices and distribution
            that might help to deliver a more significant return to aid
            resources. We should provide aid where institutions are
            already strong, where they can be strengthened with the help
            of donor resources, or where they can be bypassed with
            limited damage to existing institutional capacity. The
            importance of institutions to aid outcomes, as well as the
            fungibility of aid flows, suggests that programmatic aid
            should be expanded in countries with strong institutions,
            while project aid should be supported based on its ability
            to transfer knowledge and test new practices and support
            global public good provision rather than (merely) as a tool
            of financial resource transfer. The importance of
            institutions also suggests that we should be cautious in our
            expectations regarding the results of increased aid flows.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Title: What is effective aid? How would
            donors allocate It?. Abstract: There are significant weaknesses in
            some of the traditional justifications for assuming that aid
            will foster development. This paper looks at what the
            cross-country aid effectiveness literature and World Bank
            Operations Evaluation Department reviews have suggested
            about effective aid, first in terms of promoting income
            growth, and then for promoting other goals. This review
            forms the basis for a discussion of recommendations to
            improve aid effectiveness and a discussion of effective aid
            allocation. Given the multiple potential objectives for aid,
            there is no one right answer. However, it appears that there
            are a number of reforms to aid practices and distribution
            that might help to deliver a more significant return to aid
            resources. We should provide aid where institutions are
            already strong, where they can be strengthened with the help
            of donor resources, or where they can be bypassed with
            limited damage to existing institutional capacity. The
            importance of institutions to aid outcomes, as well as the
            fungibility of aid flows, suggests that programmatic aid
            should be expanded in countries with strong institutions,
            while project aid should be supported based on its ability
            to transfer knowledge and test new practices and support
            global public good provision rather than (merely) as a tool
            of financial resource transfer. The importance of
            institutions also suggests that we should be cautious in our
            expectations regarding the results of increased aid flows.","[{'label': 'LABEL_1', 'score': 0.6851922273635864}]"
1752,200,7056785.0,Colombia,Policy Research Working Paper,2006-09-01T00:00:00Z,Publications & Research,"Policy, Research working paper series ; no.
            WPS 4006","Financial system structure in
            Colombia : a proposal for a reform agenda",http://documents.worldbank.org/curated/en/508021468032344985/pdf/wps4006.pdf,/research/2006/09/7056785/financial-system-structure-colombia-proposal-reform-agenda,http://documents.worldbank.org/curated/en/508021468032344985/Financial-system-structure-in-Colombia-a-proposal-for-a-reform-agenda,2006/09/7056785/Financial-system-structure-in-Colombia-a-proposal-for-a-reform-agenda,5.0802146803234496e+17,,http://documents.worldbank.org/curated/en/508021468032344985/Financial-system-structure-in-Colombia-a-proposal-for-a-reform-agenda,"De La Cruz Gonzalez,Javier","Financial system structure in Colombia : a
            proposal for a reform agenda",000160016_20060914141751,"financial system;collective investment
            scheme;financial conglomerate;comparative
            performance;prevention of conflicts of interest;Return on
            Average Assets;legal and regulatory framework;independent
            board;Capital Adequacy Ratio;credit institution;economies of
            scale;insurance companies;analytical approach;bank safety
            net;regulation and supervision;law and regulation;financial
            sector reform;mutual fund management;financial leasing;costs
            of transaction;social security system;defined contribution
            pension;Insurance and Pension;third party provider;financial
            performance indicator;free trade agreement;certificate of
            deposit;level of collaboration;public sector bank;department
            of justice;private sector financing;credit information
            index;declining interest rates;financial performance
            ratio;private sector debt;Union of bank;banking sector
            asset;nominal growth rate;public development bank;minimum
            capital requirement;net interest margin;Type of
            Investment;combination of factor;burden of adjustment;sound
            financial system;foreign exchange regulation;financial
            service provision;voluntary pension fund;financial
            group;financial cooperatives;",,Latin America & Caribbean,South America,World,"The objective of this policy paper is
            to identify and propose high-level legal and regulatory
            reforms to Colombia's financial system structure that
            would enhance efficiency and/or mitigate risks. Five
            specific and four general reforms are proposed and evaluated
            based on their compatibility with the aforementioned
            objectives, ease of implementation, impact, and consistency
            with international practice. Potential implications for
            supervision and competition, as well as likely criteria for
            developing a carefully sequenced reform roadmap, are also highlighted.","Stephanou,Constantinos",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Title: Financial system structure in
            Colombia : a proposal for a reform agenda. Abstract: The objective of this policy paper is
            to identify and propose high-level legal and regulatory
            reforms to Colombia's financial system structure that
            would enhance efficiency and/or mitigate risks. Five
            specific and four general reforms are proposed and evaluated
            based on their compatibility with the aforementioned
            objectives, ease of implementation, impact, and consistency
            with international practice. Potential implications for
            supervision and competition, as well as likely criteria for
            developing a carefully sequenced reform roadmap, are also highlighted.","[{'label': 'LABEL_0', 'score': 0.7737414240837097}]"
1753,201,7056839.0,Europe and Central Asia,Policy Research Working Paper,2006-09-01T00:00:00Z,Publications & Research,"Policy, Research working paper series ; no.
            WPS 4007","Increasing inequality in
            transition economies : is there more to come?",http://documents.worldbank.org/curated/en/733471468282883074/pdf/wps4007.pdf,/research/2006/09/7056839/increasing-inequality-transition-economies-more-come,http://documents.worldbank.org/curated/en/733471468282883074/Increasing-inequality-in-transition-economies-is-there-more-to-come,2006/09/7056839/Increasing-inequality-in-transition-economies-is-there-more-to-come,7.334714682828831e+17,,http://documents.worldbank.org/curated/en/733471468282883074/Increasing-inequality-in-transition-economies-is-there-more-to-come,"Mitra,Pradeep K.","Increasing inequality in transition
            economies : is there more to come?",000160016_20060914143004,"Poverty Reduction & Economic
            Management;increase in inequality;concentration
            coefficient;evolution of inequality;decomposition of
            inequality;source income;source of income;return to
            education;income source;Transition economies;transition
            economy;per capita consumption;data on income;regional price
            difference;social transfer;data on consumption;components of
            consumption;inequality in wage;Social Safety Nets;per capita
            income;consumption per capita;increasing wage
            inequality;incidence of tax;value added tax;flow of
            service;Minimum Wage Policy;countries in transition;informal
            sector activity;social assistance program;lack of
            consistency;implications for policy;change in
            technology;high inequality country;Private Sector
            Growth;income from property;effect of transfer;private
            sector transition;inequality between groups;term of
            data;labor force survey;high inflation episode;informal
            sector employment;measure of inequality;movement of
            worker;per capita expenditure;household survey data;labor
            market development;high school graduate;change in
            income;share of wage;transition country;transition
            countries;entrepreneurial income;property
            income;technological change;market economy;increasing
            inequality;work income;theoretical model;inequality
            outcome;public transfer;household groups;government
            expenditure;comparable data;asset transfer;income
            inequality;regional data;equivalence scale;household
            income;consumption inequality;total inequality;average
            wage;inflationary environment;empirical evidence;data
            limitation;real wage;pension payment;consumer
            durable;primary data;labor income;wage income;money
            income;higher inequality;inequality change;inequality
            index;farm income;simulation result;rent appropriation;human
            capital;unemployment benefit;spatial price;inequality
            decomposition;price index;high probability;positive
            correlation;initial value;labor reallocation;model
            result;inequality effect;financial asset;relative
            wage;inflation tax;aggregate data;land plot;subsistence
            economy;income share;base period;observed change;fiscal
            adjustment;wage setting;inequality level;empirical
            study;pension policy;Socialist economies;monthly
            wage;reduced inequality;market income;contractual
            wage;entrepreneurial activity;Informal Work;Cash Income;net
            wage;income data;skill premium;empirical analysis;household
            structure;Tax Compliance;family status;important policy;high
            wage;Economic Policy;sample survey;important
            component;regional variation;common feature;wage
            distribution;productive use;consumption module;investment
            climate;Job Creation;spatial difference;unequal
            distribution;financial crisis;income disparity;subsistence
            agriculture;real value;increased inequality;national
            survey;Command economy;open unemployment;inequality
            estimates;social program;previous subsection;rising
            inequality;firm foundation;consumption aggregate;job
            loss;employment status;internationally comparable;fiscal
            stringency;consumption flow;informal payment;global
            factor;current consumption;rental value;monetary
            policy;rural resident;technological progress;cash
            receipt;privatization program;financial income;national
            wealth;living standard;social class;unskilled worker;city
            dweller;inflation rate;redistributive effect;productive
            resource;private hand;housing stock;",,,,,"This paper decomposes changes in
            inequality, which has in general been increasing in the
            transition economies of Eastern Europe and the former Soviet
            Union, both by income source and socio-economic group, with
            a view to understanding the determinants of inequality and
            assessing how it might evolve in the future. The empirical
            analysis relies on a set of inequality statistics that,
            unlike ""official data"", are consistent and
            comparable across countries and are based on primary records
            from household surveys recently put together for the World
            Bank study ""Growth, Poverty and Inequality in Eastern
            Europe and the Former Soviet Union: 1998-2003"" [World
            Bank (2005b)]. The increase in inequality in transition, as
            predicted by a number of theoretical models, in practice
            differed substantially across countries, with the size and
            speed of its evolution depending on the relative importance
            of its key determinants, viz., changes in the wage
            distribution, employment, entrepreneurial incomes and social
            safety nets. Its evolution was also influenced by policy.
            This diversity of outcomes is exemplified on the one hand
            for Central Europe by Poland, where the increase in
            inequality has been steady but gradual and reflects, inter
            alia, larger changes in employment and compensating
            adjustments in social safety nets and, on the other for the
            Commonwealth of Independent States by Russia, where an
            explosive overshooting of inequality peaked in the mid-1990s
            before being moderated through the extinguishing of wage
            arrears during its post-1998 recovery. The paper argues that
            the process of transition to a market economy is not
            complete and that further evolution of inequality will
            depend both on (i) transition-related factors, such as the
            evolution of the education premium, a bias in the investment
            climate against new private sector firms which are important
            vehicles of job creation and regional impediments to
            mobility of goods and labor, as well as increasingly (ii)
            other factors, such as technological change and
            globalization. The paper also contrasts key features of
            inequality in Russia in the context of other transition
            economies with trends in inequality observed in China where
            rapid economic growth has been accompanied by a steep
            increase in inequality. It argues that the latter's
            experience is, to a large extent, a developmental, rather
            than a transition-related phenomenon deriving from the
            rural-urban divide and is, therefore, of limited relevance
            for predicting changes in inequality in Russia.","Yemtsov,Ruslan G.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Title: Increasing inequality in
            transition economies : is there more to come?. Abstract: This paper decomposes changes in
            inequality, which has in general been increasing in the
            transition economies of Eastern Europe and the former Soviet
            Union, both by income source and socio-economic group, with
            a view to understanding the determinants of inequality and
            assessing how it might evolve in the future. The empirical
            analysis relies on a set of inequality statistics that,
            unlike ""official data"", are consistent and
            comparable across countries and are based on primary records
            from household surveys recently put together for the World
            Bank study ""Growth, Poverty and Inequality in Eastern
            Europe and the Former Soviet Union: 1998-2003"" [World
            Bank (2005b)]. The increase in inequality in transition, as
            predicted by a number of theoretical models, in practice
            differed substantially across countries, with the size and
            speed of its evolution depending on the relative importance
            of its key determinants, viz., changes in the wage
            distribution, employment, entrepreneurial incomes and social
            safety nets. Its evolution was also influenced by policy.
            This diversity of outcomes is exemplified on the one hand
            for Central Europe by Poland, where the increase in
            inequality has been steady but gradual and reflects, inter
            alia, larger changes in employment and compensating
            adjustments in social safety nets and, on the other for the
            Commonwealth of Independent States by Russia, where an
            explosive overshooting of inequality peaked in the mid-1990s
            before being moderated through the extinguishing of wage
            arrears during its post-1998 recovery. The paper argues that
            the process of transition to a market economy is not
            complete and that further evolution of inequality will
            depend both on (i) transition-related factors, such as the
            evolution of the education premium, a bias in the investment
            climate against new private sector firms which are important
            vehicles of job creation and regional impediments to
            mobility of goods and labor, as well as increasingly (ii)
            other factors, such as technological change and
            globalization. The paper also contrasts key features of
            inequality in Russia in the context of other transition
            economies with trends in inequality observed in China where
            rapid economic growth has been accompanied by a steep
            increase in inequality. It argues that the latter's
            experience is, to a large extent, a developmental, rather
            than a transition-related phenomenon deriving from the
            rural-urban divide and is, therefore, of limited relevance
            for predicting changes in inequality in Russia.","[{'label': 'LABEL_0', 'score': 0.5572341680526733}]"
1754,202,7063025.0,Philippines,Policy Research Working Paper,2006-09-01T00:00:00Z,Publications & Research,"Impact evaluation series ; no. IE 7,Policy, Research working paper ; no. WPS 4008","Group versus individual liability
            : a field experiment in the Philippines",http://documents.worldbank.org/curated/en/542591468092096589/pdf/WPS40081IE70B3111130ADDITIONAL0COTITL.pdf,/research/2006/09/7063025/group-versus-individual-liability-field-experiment-philippines,http://documents.worldbank.org/curated/en/542591468092096589/Group-versus-individual-liability-a-field-experiment-in-the-Philippines,2006/09/7063025/Group-versus-individual-liability-a-field-experiment-in-the-Philippines,5.425914680920966e+17,,http://documents.worldbank.org/curated/en/542591468092096589/Group-versus-individual-liability-a-field-experiment-in-the-Philippines,"Gine,Xavier","Group versus individual liability : a field
            experiment in the Philippines",000112742_20060918174212,"individual liability;lending to the
            poor;social network;loan size;default on loan;assignment to
            treatment;flow of information;change in liability;moral
            hazard effect;insurance in village;exchange of
            information;rural financial market;demand for credit;loans
            to individual;individual savings accounts;case of
            default;client retention rate;number of dropouts;moral
            hazard problem;social collateral;fixed effect;social
            capital;peer pressure;credit market;repayment rate;",,World,Asia,Southeast Asia,"Group liability is often portrayed as
            the key innovation that led to the explosion of the
            microcredit movement, which started with the Grameen Bank in
            the 1970s and continues on today with hundreds of
            institutions around the world. Group lending claims to
            improve repayment rates and lower transaction costs when
            lending to the poor by providing incentives for peers to
            screen, monitor, and enforce each other's loans.
            However, some argue that group liability creates excessive
            pressure and discourages good clients from borrowing,
            jeopardizing both growth and sustainability. Therefore, it
            remains unclear whether group liability improves the
            lenders overall profitability and the poor's access to
            financial markets. The authors worked with a bank in the
            Philippines to conduct a field experiment to examine these
            issues. They randomly assigned half of the 169 pre-existing
            group liability 'centers' of approximately twenty
            women to individual-liability centers (treatment) and kept
            the other half as-is with group liability (control). We find
            that the conversion to individual liability does not affect
            the repayment rate, and leads to higher growth in center
            size by attracting new clients.","Karlan,Dean S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Title: Group versus individual liability
            : a field experiment in the Philippines. Abstract: Group liability is often portrayed as
            the key innovation that led to the explosion of the
            microcredit movement, which started with the Grameen Bank in
            the 1970s and continues on today with hundreds of
            institutions around the world. Group lending claims to
            improve repayment rates and lower transaction costs when
            lending to the poor by providing incentives for peers to
            screen, monitor, and enforce each other's loans.
            However, some argue that group liability creates excessive
            pressure and discourages good clients from borrowing,
            jeopardizing both growth and sustainability. Therefore, it
            remains unclear whether group liability improves the
            lenders overall profitability and the poor's access to
            financial markets. The authors worked with a bank in the
            Philippines to conduct a field experiment to examine these
            issues. They randomly assigned half of the 169 pre-existing
            group liability 'centers' of approximately twenty
            women to individual-liability centers (treatment) and kept
            the other half as-is with group liability (control). We find
            that the conversion to individual liability does not affect
            the repayment rate, and leads to higher growth in center
            size by attracting new clients.","[{'label': 'LABEL_0', 'score': 0.8396333456039429}]"
1755,203,7063026.0,Azerbaijan,Policy Research Working Paper,2006-09-18T00:00:00Z,Publications & Research,"Policy, Research working paper ; no. WPS 4009","Azerbaijan's household
            survey data : explaining why inequality is so low",http://documents.worldbank.org/curated/en/117911468221371795/pdf/wps40090BOX0B311113.pdf,/research/2006/09/7063026/azerbaijans-household-survey-data-explaining-inequality-so-low,http://documents.worldbank.org/curated/en/117911468221371795/Azerbaijans-household-survey-data-explaining-why-inequality-is-so-low,2006/09/7063026/Azerbaijans-household-survey-data-explaining-why-inequality-is-so-low,1.1791146822137179e+17,,http://documents.worldbank.org/curated/en/117911468221371795/Azerbaijans-household-survey-data-explaining-why-inequality-is-so-low,"Ersado,Lire","Azerbaijan's household survey data :
            explaining why inequality is so low",000112742_20060918174446,"social transfer;transfer
            transfer;consumption per capita;data collection
            process;average per capita consumption;missing
            observation;household survey data collection;lack of
            participation;probability density function;measure of
            inequality;transfer income;cluster analysis;family and
            friends;expenditure on food;income on food;natural resource
            base;income and expenditure;source of income;source
            income;social assistance program;value of consumption;social
            protection program;income generating opportunity;per capita
            income;share of income;family support network;share of
            transfer;high opportunity cost;measurement of poverty;upper
            income group;headcount poverty rate;poverty gap
            ratio;distribution of wealth;transfers to individual;gdp
            growth rate;income of household;poor household;emergency
            medical care;increase in inequality;effect of
            transfer;combination of factor;missing data;household
            consumption;consumption inequality;empirical
            regularity;household income;equal country;inequality
            measure;result data;total consumption;consumption
            expenditure;accessible location;Displaced Population;wealth
            distribution;work practice;hiring practice;response
            rate;Poverty Analysis;sampling units;wealth group;household
            head;medical expenditure;regular staff;child allowance;poor
            infrastructure;base case;consumption level;household
            data;survey instrument;regional distribution;important
            component;sample household;random sample;survey
            results;primary source;household level;social
            information;vulnerable household;transition country;adverse
            events;transfer program;family network;living
            condition;Poverty measures;headcount ratio;0
            hypothesis;poverty severity;geographic location;inequality
            estimates;low consumption;percent change;survey period;human
            capital;income bracket;private source;consumption
            ratio;regional inequality;data quality;representative
            sample;population census;average consumption;sampling
            frame;Pension Income;aggregate data;high-income
            household;Oil Income;household interview;global
            inequality;transition countries;transitional
            economy;empirical evidence;rural area;poverty
            profile;Macroeconomic Stability;vulnerable group;target
            social;participation rate;positive correlation;common
            problems;international donor;sampling framework;hearing
            impairment;socio-economic status;economic region;scatter
            plot;health condition;acute illness;real gdp;geographic
            aggregation;macroeconomic indicator;government
            source;important policy;friends network;income
            inequality;labor earning;government cash;measuring poverty;",,South Eastern Europe and Balkans,Asia,Commonwealth of Independent States,"While the Azerbaijan household income
            and expenditure survey (HIES) data satisfy most empirical
            regularities expected in a typical household survey data,
            the inequality measures based on the data are unusually low.
            For example, for the latest three years for which we have
            data (2002 - 2004), the consumption Gini coefficient (the
            commonly used summary measure of inequality) is in the range
            of 16 - 18 percent. This is among the lowest Gini
            coefficients ever observed in any country, and is extremely
            low even with the standard of countries generally considered
            as most equal in the world. Azerbaijan, a transitional
            economy with a significant natural resource base, is
            unlikely to be the most equal country in the world. The
            objective of this paper is to investigate why inequality
            measures are unusually low in the Azerbaijan household
            survey data. The author presents a methodology for
            diagnosing and identifying the potential sources of low
            inequality in the data, including cluster analysis at the
            primary sampling unit level. The main inference from the
            findings of the cluster analysis is that the observed low
            inequality indices are not due to poor supervision of the
            interviewers and the data collection process. The author
            finds that the main culprits for the observed low inequality
            in the HIES data are (1) the low participation rates of
            wealthy households in the household surveys, and (2) the
            widespread availability of well-targeted public and private transfers.",,,,World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Title: Azerbaijan's household
            survey data : explaining why inequality is so low. Abstract: While the Azerbaijan household income
            and expenditure survey (HIES) data satisfy most empirical
            regularities expected in a typical household survey data,
            the inequality measures based on the data are unusually low.
            For example, for the latest three years for which we have
            data (2002 - 2004), the consumption Gini coefficient (the
            commonly used summary measure of inequality) is in the range
            of 16 - 18 percent. This is among the lowest Gini
            coefficients ever observed in any country, and is extremely
            low even with the standard of countries generally considered
            as most equal in the world. Azerbaijan, a transitional
            economy with a significant natural resource base, is
            unlikely to be the most equal country in the world. The
            objective of this paper is to investigate why inequality
            measures are unusually low in the Azerbaijan household
            survey data. The author presents a methodology for
            diagnosing and identifying the potential sources of low
            inequality in the data, including cluster analysis at the
            primary sampling unit level. The main inference from the
            findings of the cluster analysis is that the observed low
            inequality indices are not due to poor supervision of the
            interviewers and the data collection process. The author
            finds that the main culprits for the observed low inequality
            in the HIES data are (1) the low participation rates of
            wealthy households in the household surveys, and (2) the
            widespread availability of well-targeted public and private transfers.","[{'label': 'LABEL_1', 'score': 0.9450172185897827}]"
