"paper_id","year","outbound_citations","inbound_citations"
55927583,2006,25,3
55927880,2011,6,0
55929206,2009,10,0
55929527,2017,5,0
46440799,2008,0,2
46441402,2013,0,1
46441827,2003,29,4
46443431,2002,11,1
46447278,2010,51,10
46449194,2011,0,0
88481068,2019,72,4
90395763,2018,25,0
213522000,2020,54,0
164273918,2019,11,0
26692834,2014,10,9
26693354,2006,24,68
26693823,2014,15,6
26694881,2007,21,8
26697875,2017,18,0
26698567,2004,12,57
26698787,2005,2,15
23511605,2015,11,2
23511766,2004,37,12
23512477,2007,0,11
23512573,2011,132,17
23515393,2010,33,10
23515561,2010,5,10
23517010,2013,31,6
23517105,2003,25,0
23518080,2016,65,2
23518181,2017,24,4
23518760,2007,55,12
23519077,2004,7,0
23519536,2016,14,8
23519917,2017,22,0
145252771,2012,0,0
145254344,2008,14,16
145254997,2010,6,0
145255921,2004,11,4
28741125,2009,29,19
28741163,2012,9,44
28745181,2009,0,0
28745971,2004,13,12
28746142,2004,52,5
28746366,2008,26,43
28748254,2013,11,0
31241524,2007,3,10
31242070,2005,27,40
31245016,2017,35,10
31245304,2007,19,1
31245807,2013,3,0
31247147,2001,14,0
31247668,2008,14,5
31248244,2014,13,0
156272196,2016,70,1
156274397,2016,35,11
156279681,2015,0,0
57627067,2002,0,1
42890018,2014,0,5
42890546,2012,25,3
42896318,2004,36,7
42897586,2004,10,14
47047573,2012,61,29
24970086,2004,27,15
24970305,2017,10,1
24970733,2017,37,2
24971987,2005,17,6
24972152,2005,35,22
24972678,2011,30,17
24974276,2005,32,10
24974570,2005,47,0
24976932,2017,16,0
24977131,2012,22,5
24978332,2018,47,0
24978335,2012,14,23
24978948,2012,46,4
24979742,2005,15,14
24979802,2004,1,1
37990219,2011,0,3
37990792,2011,15,1
37995383,2015,11,1
37995786,2007,1,0
201608584,2019,127,0
55540417,2011,4,0
55541442,2008,0,0
55541533,2009,40,28
55541881,2012,4,1
55543788,2017,3,0
55543859,2013,21,0
55544043,2015,49,0
55544436,2007,31,1
55544508,2013,3,1
55545853,2012,20,0
55546948,2008,16,2
55547627,2015,26,3
55548765,2016,4,0
55548896,2013,5,0
55549493,2003,8,0
55549604,2017,31,2
197171767,2019,9,0
155692701,2012,0,0
155694147,2015,0,0
43962161,2018,46,0
43964887,2018,14,1
43965644,2015,13,0
43965765,2018,26,0
43969350,2018,47,5
18410006,2003,23,4
18410168,2002,12,43
18411366,2010,6,15
18411699,2015,23,5
18411968,2009,21,2
18413307,2016,37,0
18413534,2006,18,14
18413595,2013,27,0
18413888,2016,21,13
18414528,2015,8,0
18414769,2004,4,4
18415270,2015,15,20
18415486,2004,52,9
18416057,2013,0,3
18416940,2004,13,34
18417308,2016,31,11
18417524,2008,0,24
18417546,2006,21,10
18417871,2005,29,4
18418103,2009,26,9
18419055,2009,0,114
18419156,2014,24,13
18419939,2010,61,48
54780321,2017,10,0
54781908,2014,3,0
54783619,2013,6,1
54786293,2001,2,10
54787595,2005,4,0
54787740,2012,13,3
54789676,2016,25,0
80330860,2016,8,0
80333177,2010,3,0
80333890,2015,16,0
80335841,2018,0,0
80337019,2018,2,0
80338192,2018,4,0
80338574,2018,17,0
157674308,2014,5,1
157675402,2005,7,0
157675621,2010,2,1
157679844,2016,9,2
7220916,2016,12,2
7221904,2017,11,1
7222208,2005,64,12
7223167,2001,1,0
7223433,2009,38,79
7224218,2007,71,7
7225992,2007,4,0
7226308,2009,30,44
7226373,2011,49,9
7226481,2014,66,18
7227588,2013,5,15
7227742,2011,21,6
7228702,2012,22,3
7229054,2015,79,2
7229695,2015,0,1
214806902,2020,39,0
214808381,2020,45,0
214809482,2020,0,0
70374392,2015,35,0
70376936,2006,6,6
70378198,2011,4,0
30050625,2016,0,0
30051944,2008,9,12
30053471,2016,24,5
30053655,2015,21,19
30055162,2015,0,0
30056761,2004,0,31
30056899,2016,27,5
30058975,2005,25,12
30059163,2006,29,43
30059274,2005,27,7
74261652,2009,0,0
74263386,2013,1,0
74263548,2016,9,0
74268868,2013,17,1
168793541,2016,6,0
168794251,2016,1,0
168795927,2017,21,0
168799922,2017,8,0
74854421,2011,0,0
44432659,2017,92,6
44433808,2015,14,2
44433830,2017,20,2
44439161,2014,0,0
44439840,2011,19,7
113714810,2011,3,2
157913234,2012,6,2
157916563,2017,53,2
157917968,2017,6,0
157918691,2017,20,0
72772461,2014,13,0
72772895,2001,25,0
72776716,2015,54,3
198251312,2019,0,0
198251409,2019,56,0
198254331,2019,12,0
125062149,2019,24,0
125065591,2019,35,1
91373590,2019,19,0
91378691,2019,27,0
198772769,2019,13,0
198775427,2019,30,1
198777021,2016,9,0
198779059,2012,10,0
32266966,2014,20,6
32266992,2011,1,0
32269135,2003,27,8
70890269,2011,16,0
17471176,2015,40,2
17471345,2016,30,53
17472085,2013,1,5
17473063,2004,4,25
17473707,2016,33,8
17474476,2010,17,10
17475289,2015,234,8
17475827,2003,11,0
17476168,2016,18,1
17476237,2003,34,45
17476921,2016,20,3
17477291,2014,0,6
17477636,2001,19,2
17477653,2011,48,37
17477803,2002,17,24
17477834,2015,38,0
17478087,2008,35,175
17479936,2002,32,87
205530540,2008,24,8
205530597,2015,17,8
205531412,2010,72,11
205532710,2017,18,0
205536777,2017,43,5
205537843,2011,0,5
212430740,2019,24,0
146911801,2016,4,0
146912872,2016,3,0
146913626,2016,58,3
146914603,2015,6,0
146915008,2012,19,3
146917017,2014,30,0
146917238,2011,8,0
189303752,2017,6,0
21240085,2013,24,32
21240223,2016,36,3
21242502,2006,1,2
21242787,2015,69,15
21243086,2007,24,16
21243438,2012,16,11
21246373,2011,46,14
21246406,2017,24,4
21246415,2004,21,4
21246543,2017,0,2
21249394,2016,14,1
21249806,2003,48,51
21249816,2014,4,8
6270252,2008,0,0
6270338,2003,1,10
6270743,2016,15,11
6270790,2014,25,2
6271023,2013,19,25
6271245,2010,18,5
6271257,2011,27,220
6271294,2008,3,0
6271476,2006,5,2
6271522,2009,0,0
6272224,2009,0,0
6272243,2016,68,10
6272456,2013,2,1
6272846,2015,26,3
6272910,2003,24,12
6272938,2012,31,51
6272984,2008,22,0
6273343,2012,17,10
6273915,2010,18,1
6274149,2005,46,4
6274197,2008,54,31
6274295,2008,8,8
6274316,2007,32,48
6275244,2011,0,15
6275368,2003,19,2
6275756,2007,0,19
6275805,2014,101,31
6276313,2013,27,11
6276539,2005,0,1
6276622,2017,19,0
6276629,2016,20,1
6277328,2016,6,8
6278586,2007,0,14
6279118,2009,48,147
6279171,2003,15,33
208991971,2012,0,0
159001894,2018,9,0
159002274,2011,6,3
159004913,2017,0,0
159007795,2017,32,10
159008157,2017,0,0
41081650,2016,0,0
41087854,2015,10,0
55320053,2014,9,3
55324034,2016,30,0
55324684,2014,25,12
55325032,2012,0,0
55325843,2007,0,0
